Sample,Stage,Site,Mort,Development,Oligo,I,Male
NR1,M,NR,Impact,C,B,B,A
NR2,I,NR,Impact,A,B,A,B
NR3,I,NR,Impact,A,B,A,B
NR4,M,NR,Impact,A,B,B,A
NR5,F,NR,Impact,B,B,B,B
NR6,I,NR,Impact,A,B,A,B
NR7,M,NR,Impact,B,B,B,A
NR8,F,NR,Impact,C,B,B,B
NR9,M,NR,Impact,C,B,B,A
NR10,M,NR,Impact,C,B,B,A
NR11,M,NR,Impact,C,B,B,A
NR12,M,NR,Impact,C,B,B,A
NR13,I,NR,Impact,A,B,A,B
NR14,M,NR,Impact,C,B,B,A
NR15,VF,NR,Impact,B,B,B,B
NR16,VF,NR,Impact,C,B,B,B
NR17,VF,NR,Impact,B,B,B,B
NR18,M,NR,Impact,A,B,B,A
NR19,VF,NR,Impact,C,B,B,B
NR20,M,NR,Impact,A,B,B,A
NR21,VF,NR,Impact,A,B,B,B
NR22,I,NR,Impact,A,B,A,B
NR23,I,NR,Impact,A,B,A,B
NR24,VF,NR,Impact,A,B,B,B
NR25,I,NR,Impact,A,B,A,B
NR26,I,NR,Impact,A,B,A,B
NR27,M,NR,Impact,A,B,B,A
NR28,OF,NR,Impact,A,A,B,B
NR29,M,NR,Impact,B,B,B,A
NR30,VF,NR,Impact,A,B,B,B
SC1,M,SC,Impact,B,B,B,A
SC2,OF,SC,Impact,A,A,B,B
SC3,I,SC,Impact,B,B,A,B
SC4,M,SC,Impact,B,B,B,A
SC5,M,SC,Impact,A,B,B,A
SC6,I,SC,Impact,A,B,A,B
SC7,F,SC,Impact,A,B,B,B
SC8,M,SC,Impact,B,B,B,A
SC9,M,SC,Impact,B,B,B,A
SC10,M,SC,Impact,A,B,B,A
SC11,OF,SC,Impact,A,A,B,B
SC12,OF,SC,Impact,B,A,B,B
SC13,M,SC,Impact,C,B,B,A
SC14,VF,SC,Impact,B,B,B,B
SC15,M,SC,Impact,C,B,B,A
SC16,OF,SC,Impact,B,A,B,B
SC17,OF,SC,Impact,B,A,B,B
SC18,M,SC,Impact,C,B,B,A
SC19,M,SC,Impact,C,B,B,A
SC20,M,SC,Impact,C,B,B,A
SC21,OF,SC,Impact,A,A,B,B
SC22,I,SC,Impact,A,B,A,B
SC23,M,SC,Impact,C,B,B,A
SC24,F,SC,Impact,A,B,B,B
SC25,M,SC,Impact,B,B,B,A
SC26,M,SC,Impact,B,B,B,A
SC27,OF,SC,Impact,A,A,B,B
SC28,M,SC,Impact,C,B,B,A
SC29,M,SC,Impact,B,B,B,A
SC30,VF,SC,Impact,B,B,B,B
BS1,M,BS,Control,B,B,B,A
BS2,M,BS,Control,B,B,B,A
BS3,M,BS,Control,C,B,B,A
BS4,M,BS,Control,C,B,B,A
BS5,M,BS,Control,A,B,B,A
BS6,I,BS,Control,A,B,A,B
BS7,F,BS,Control,C,B,B,B
BS8,M,BS,Control,B,B,B,A
BS9,M,BS,Control,C,B,B,A
BS10,M,BS,Control,C,B,B,A
BS11,M,BS,Control,A,B,B,A
BS12,M,BS,Control,B,B,B,A
BS13,M,BS,Control,C,B,B,A
BS14,M,BS,Control,C,B,B,A
BS15,M,BS,Control,C,B,B,A
BS16,F,BS,Control,A,B,B,B
BS17,M,BS,Control,B,B,B,A
BS18,M,BS,Control,B,B,B,A
BS19,I,BS,Control,A,B,A,B
BS20,M,BS,Control,C,B,B,A
IsoBlank,NA,NA,NA,NA,B,B,B
